duration,src_bytes,dst_bytes,error_rate,conn_count,packet_size,label
4.1457,379.0,313.1,0.0113,4.0,367.2,0
1.3495,707.5,580.6,0.0432,3.0,379.3,0
6.5693,490.2,431.7,0.0239,2.0,440.6,0
1.865,144.5,240.5,0.3387,14.877392095820614,287.5,0
0.1794,28.2,6.2,0.5444,27.0,61.9,1
0.1134,30.9,2.2,0.7965,22.0,55.6,1
0.1967,75.0,79.6,0.1578,57.0,117.7,1
2.6388,480.0,545.3,0.0345,5.0,299.4,0
0.9956,325.4,351.6,0.142,3.0,336.3,0
2.0431,458.9,387.1,0.1346,3.0,323.1,0
0.2887,86.6,2.1,0.1567,50.0,111.7,1
2.8578,663.5,402.6,0.157,5.0,343.1,0
3.0462,497.9,354.6,0.0256,2.0,386.9,0
3.8926,387.1,312.5,0.0476,1.0,470.8,0
1.6021,593.3,534.4,0.0959,4.0,408.6,0
3.519,660.3,647.7,0.0539,2.0,408.2,0
6.1803,701.8,565.0,0.0652,1.0,335.2,0
1.6767,293.0,212.7,0.2964,18.34053094694047,238.1,0
3.0289,364.4,246.4,0.3238,17.502011781076455,189.8,0
7.626,600.3,484.1,0.0503,5.0,298.8,0
0.4734,101.8,78.8,0.175,42.0,87.9,1
4.5006,597.5,496.7,0.0366,6.0,311.3,0
4.7629,519.0,488.8,0.1611,3.0,406.4,0
2.6067,375.8,474.5,0.0375,4.0,326.0,0
3.8739,444.9,492.1,0.0682,3.0,370.5,0
3.8277,470.5,499.7,0.0461,2.0,297.4,0
3.1585,455.4,533.2,0.1095,8.0,401.8,0
0.025,12.2,18.2,0.8825,17.0,41.6,1
2.8719,297.7,385.7,0.0301,1.0,244.3,0
3.3914,739.7,490.2,0.0954,2.0,375.1,0
1.7968,290.9,219.7,0.0728,25.86908540393705,216.1,1
0.9106,329.2,529.7,0.06,1.0,372.8,0
2.2392,226.1,123.2,0.296,20.138100772407146,170.3,0
0.3269,53.5,41.3,0.262,45.0,117.8,1
3.9642,553.6,456.9,0.1774,4.0,290.8,0
0.0675,17.7,18.2,0.6727,25.0,35.8,1
8.7027,585.7,464.4,0.1445,2.0,295.5,0
4.0586,405.6,454.3,0.083,3.0,395.5,0
1.7605,744.2,394.6,0.1233,2.0,370.0,0
0.9073,297.0,415.0,0.1258,2.0,346.2,0
0.4073,569.5,502.7,0.0422,1.0,329.4,0
3.1576,371.3,439.7,0.1711,1.0,366.2,0
0.0469,59.0,69.2,0.1642,46.0,101.3,1
0.6852,90.7,49.8,0.0964,49.0,75.7,1
13.4004,583.9,461.3,0.1351,7.0,411.3,0
1.9758,391.7,463.1,0.1052,4.0,262.8,0
0.7751,577.7,453.8,0.0459,2.0,407.7,0
0.752,652.9,443.6,0.2745,4.0,278.7,0
1.3923,262.3,207.9,0.0876,25.337405957060298,182.7,1
6.0531,675.3,519.5,0.0033,5.0,320.3,0
0.4149,69.5,33.9,0.6114,43.0,58.3,1
4.1989,575.0,547.5,0.2277,8.0,402.3,0
1.2501,213.9,197.7,0.1887,21.99691126436273,200.1,1
1.1024,287.4,373.0,0.3011,13.349655814689946,287.8,0
1.274,576.2,484.8,0.0254,6.0,309.6,0
2.3916,650.0,487.4,0.0262,1.0,353.8,0
1.7844,344.9,246.8,0.2509,19.106668159365892,239.3,0
3.44,483.0,676.6,0.0256,2.0,392.2,0
3.9177,489.5,380.9,0.0778,1.0,361.1,0
0.9147,251.1,205.5,0.3037,20.08541555463342,243.6,0
5.1885,642.5,369.8,0.0996,3.0,289.5,0
0.9594,475.9,494.9,0.293,2.0,185.0,0
2.6794,375.1,174.8,0.0874,1.0,413.5,0
1.8932,620.2,443.5,0.0185,5.0,392.2,0
4.4564,290.4,206.7,0.3268,21.37108487857594,157.3,0
1.3372,267.6,454.2,0.0664,1.0,315.6,0
0.0359,41.6,11.2,0.5413,31.0,77.4,1
0.1247,39.1,21.3,0.7992,19.0,33.3,1
0.063,25.2,13.0,0.8591,19.0,60.8,1
1.413,237.5,199.8,0.4548,12.43098000373483,183.0,1
4.2542,598.0,473.3,0.0307,2.0,269.0,0
0.1577,9.4,44.7,0.3553,43.0,61.6,1
0.1708,30.6,1.0,0.8223,22.0,47.6,1
2.3831,594.2,450.7,0.0415,1.0,394.5,0
3.2356,745.9,267.9,0.0102,2.0,253.6,0
2.7558,607.7,456.6,0.0292,3.0,394.4,0
0.602,805.9,388.6,0.0218,1.0,411.5,0
1.8539,277.4,245.0,0.2939,20.560758103731054,195.2,0
1.2559,498.4,418.9,0.0035,5.0,223.4,0
0.037,5.1,23.1,0.4667,48.0,34.4,1
9.6912,477.2,375.6,0.0513,2.0,416.3,0
0.2079,62.9,11.7,0.4894,46.0,91.3,1
2.7774,474.7,340.0,0.045,3.0,396.1,0
0.3459,51.5,35.5,0.2159,62.0,99.0,1
7.5641,520.6,624.7,0.0226,2.0,352.5,0
2.2052,353.3,410.2,0.0164,5.0,334.2,0
0.3645,51.0,35.4,0.2817,48.0,144.7,1
0.33,225.9,257.3,0.3409,20.33534648282383,229.8,0
2.2088,287.0,523.3,0.1189,1.0,297.4,0
0.0002,60.2,81.3,0.3576,51.0,136.5,1
1.1748,254.7,191.3,0.2646,16.609973298138488,179.0,0
2.6368,611.7,487.4,0.0166,1.0,339.5,0
1.4983,374.6,306.0,0.2303,13.883695627527128,219.1,0
3.5288,453.1,331.6,0.046,3.0,271.0,0
6.6061,633.6,627.9,0.0423,2.0,347.7,0
1.5654,530.6,395.0,0.1034,3.0,252.3,0
4.0226,491.5,397.1,0.0411,6.0,374.8,0
1.5685,248.4,228.7,0.4643,14.610341110106583,177.5,1
3.9427,361.2,453.9,0.1217,3.0,456.6,0
0.2573,16.8,27.0,0.2878,34.0,99.1,1
1.7184,430.7,291.3,0.0728,4.0,294.9,0
4.5175,376.3,339.7,0.1507,2.0,300.9,0
0.2271,358.8,799.7,0.1734,2.0,342.0,0
4.4706,541.9,514.9,0.037,2.0,365.6,0
3.679,531.0,330.9,0.0838,5.0,282.0,0
1.1087,566.8,386.4,0.0074,7.0,300.6,0
1.1702,469.6,591.6,0.0315,3.0,422.9,0
0.8067,594.9,486.9,0.0456,2.0,408.0,0
3.5498,645.5,600.0,0.0717,5.0,314.5,0
3.1181,306.1,431.3,0.0418,2.0,402.2,0
1.435,596.8,463.3,0.0187,3.0,535.3,0
1.352,193.5,199.4,0.2052,18.067237294657623,278.1,0
1.187,588.8,495.1,0.0182,3.0,334.3,0
1.0929,421.7,437.1,0.1953,2.0,318.4,0
1.0117,276.9,179.1,0.2644,19.781370953247848,224.8,0
0.4879,13.5,32.5,0.1303,48.0,112.5,1
4.4301,400.8,371.7,0.1244,3.0,284.5,0
4.475,488.5,501.0,0.0225,4.0,414.4,0
9.3055,562.9,281.1,0.0931,2.0,378.8,0
0.8257,376.1,476.9,0.0199,1.0,364.6,0
5.9777,564.9,541.4,0.1418,1.0,408.6,0
0.1253,12.0,20.3,0.6423,12.0,78.2,1
0.157,226.3,475.2,0.1155,1.0,288.3,0
1.3469,700.1,511.1,0.0404,5.0,410.1,0
1.6953,529.7,487.9,0.0957,3.0,301.2,0
0.0055,20.9,17.8,0.3583,17.0,50.2,1
5.5888,521.3,508.2,0.0078,4.0,365.3,0
0.0167,57.1,67.2,0.4395,46.0,78.8,1
2.0256,179.9,197.9,0.3278,20.38263111727038,162.8,0
3.1377,580.2,329.7,0.0994,5.0,318.7,0
0.1692,20.1,9.8,0.8241,16.0,45.7,1
0.0015,79.8,13.8,0.5725,51.0,80.4,1
0.0788,13.2,6.6,0.7407,23.0,64.6,1
2.6796,585.7,448.6,0.1044,2.0,383.9,0
5.3391,377.5,404.4,0.0064,3.0,323.4,0
5.99,473.4,551.7,0.0594,1.0,282.1,0
1.2669,213.4,213.1,0.3437,30.193608112659057,184.3,1
2.2546,533.4,437.9,0.1619,1.0,473.7,0
0.7596,172.3,178.1,0.3115,21.23105878423411,195.4,0
1.1559,674.1,446.9,0.1771,7.0,291.1,0
3.1542,679.8,127.6,0.0072,1.0,327.8,0
2.4901,403.2,241.9,0.0964,6.0,260.1,0
1.5593,296.6,261.1,0.2733,18.325961443603177,176.9,0
4.4013,507.0,612.7,0.0138,2.0,323.5,0
4.491,649.8,607.0,0.0759,5.0,326.1,0
0.7138,408.1,217.2,0.0918,2.0,390.1,0
1.2919,388.5,275.6,0.1857,15.34624700988827,278.4,0
1.3686,312.4,571.5,0.054,1.0,428.3,0
1.6316,251.5,231.3,0.4331,19.633385175971714,205.1,1
2.0041,478.5,491.7,0.0286,4.0,364.1,0
0.841,28.8,8.4,0.2642,45.0,62.8,1
3.0838,426.0,311.3,0.2305,16.741083428607194,235.3,0
0.7172,33.2,50.5,0.117,41.0,112.8,1
4.3417,546.5,553.4,0.0343,2.0,370.2,0
1.9802,256.7,204.1,0.2265,31.16145169517111,191.1,1
6.9521,570.5,558.6,0.0125,3.0,355.1,0
6.5391,469.7,652.1,0.0978,3.0,372.3,0
2.6044,479.1,493.7,0.0768,4.0,484.0,0
2.0545,459.5,381.6,0.0293,5.0,346.3,0
4.6161,668.5,451.3,0.1579,4.0,310.1,0
1.8186,210.8,659.6,0.0607,3.0,343.2,0
1.6335,456.6,367.9,0.1176,3.0,310.6,0
3.8066,414.3,578.2,0.04,8.0,280.9,0
1.8608,409.6,405.8,0.2335,4.0,382.8,0
0.1271,14.1,25.8,0.6672,15.0,74.6,1
0.5567,32.4,55.4,0.3868,58.0,53.5,1
0.665,565.8,647.4,0.0645,8.0,359.1,0
0.1465,62.7,62.8,0.2983,50.0,119.5,1
3.4799,255.9,262.4,0.2116,14.097952724174881,279.0,0
4.2502,320.4,530.9,0.0905,3.0,337.0,0
2.6827,363.2,416.7,0.0592,4.0,387.2,0
0.0703,41.4,6.7,0.5684,25.0,18.3,1
0.3662,433.3,454.0,0.0174,2.0,353.4,0
0.2203,25.6,6.5,0.7575,29.0,47.3,1
0.1272,7.8,3.0,0.8289,18.0,39.2,1
0.7453,47.6,62.1,0.2887,58.0,76.8,1
2.9007,582.3,404.6,0.079,2.0,305.6,0
4.9477,550.4,440.3,0.0384,1.0,379.1,0
3.5513,393.3,324.7,0.021,1.0,347.4,0
0.9779,477.5,594.6,0.058,2.0,383.0,0
0.2812,390.7,421.9,0.0427,1.0,327.4,0
4.3654,524.3,449.8,0.002,2.0,451.3,0
2.5598,503.9,554.2,0.0496,3.0,328.6,0
4.5058,522.6,156.0,0.0074,5.0,425.9,0
4.253,417.4,493.7,0.0175,6.0,321.8,0
1.8369,588.7,453.2,0.016,1.0,353.1,0
9.3019,437.5,487.0,0.0907,6.0,390.6,0
0.736,635.4,281.6,0.0139,1.0,325.6,0
0.754,546.2,427.8,0.0052,3.0,340.8,0
0.0329,33.8,34.3,0.119,44.0,88.0,1
3.4256,553.8,405.2,0.0114,3.0,396.6,0
1.0747,565.8,583.6,0.033,5.0,282.5,0
0.0064,74.6,78.5,0.3932,40.0,125.1,1
2.5123,602.6,419.9,0.1583,4.0,404.6,0
2.0438,411.1,260.4,0.2723,16.119364027861895,276.7,0
2.2772,423.6,373.7,0.0211,5.0,391.3,0
0.1141,86.3,29.2,0.3675,34.0,122.7,1
2.3726,650.2,504.0,0.0604,1.0,361.2,0
1.6118,264.1,240.4,0.2903,13.708247961683817,204.4,1
2.8132,721.7,367.3,0.0107,3.0,422.5,0
0.1025,17.6,4.1,0.6279,15.0,38.0,1
0.1396,20.1,22.1,0.783,25.0,29.6,1
2.6814,553.1,518.2,0.0537,1.0,385.1,0
3.4391,326.2,493.6,0.1493,1.0,413.9,0
1.8716,480.8,453.4,0.022,1.0,312.6,0
3.3902,537.7,260.4,0.0082,6.0,448.7,0
5.9156,234.1,182.1,0.2487,15.187319993052371,223.1,0
0.0426,1.6,18.8,0.7293,12.0,71.0,1
6.0576,493.2,437.9,0.0152,1.0,414.9,0
1.0059,442.5,410.9,0.0493,1.0,265.7,0
7.0615,522.8,367.2,0.0833,3.0,531.9,0
3.3568,608.0,245.2,0.0283,2.0,309.8,0
1.9741,464.1,608.7,0.0343,2.0,418.1,0
0.2869,346.4,449.5,0.0216,4.0,333.1,0
2.7328,637.7,566.5,0.0195,3.0,345.8,0
0.1003,20.9,13.2,0.7843,11.0,42.5,1
2.6311,785.9,323.4,0.0382,4.0,365.5,0
0.0047,77.7,54.1,0.1145,62.0,103.8,1
1.7143,567.0,368.4,0.0334,3.0,235.0,0
0.6995,35.5,68.4,0.1878,40.0,45.7,1
0.5318,662.1,503.4,0.0644,4.0,329.1,0
0.0493,21.5,9.9,0.6704,16.0,40.0,1
2.0688,295.3,657.0,0.1024,3.0,285.5,0
2.2497,573.8,425.2,0.0477,7.0,288.5,0
0.4079,557.8,495.5,0.0508,2.0,320.9,0
3.2123,346.1,234.6,0.0309,1.0,307.3,0
6.9741,424.7,459.2,0.0473,4.0,413.9,0
0.088,29.0,17.6,0.6924,21.0,45.4,1
1.1444,553.7,545.8,0.0288,2.0,346.3,0
1.1574,366.4,355.1,0.0377,5.0,375.7,0
0.0255,31.3,26.8,0.8403,20.0,46.8,1
1.42,435.3,559.5,0.0648,2.0,413.2,0
4.5102,625.9,446.1,0.0062,2.0,330.4,0
1.2331,399.5,543.6,0.1472,3.0,313.5,0
3.5703,532.3,327.8,0.0876,2.0,268.3,0
0.7695,70.0,33.4,0.1527,49.0,49.7,1
0.025,14.4,15.5,0.7334,25.0,45.7,1
1.1968,426.3,438.6,0.1434,4.0,267.9,0
